Symbol,ShortName,IndustryName,PROVINCE,CITY,MAINBUSSINESS,Validated_Symbol
002222,福晶科技,计算机、通信和其他电子设备制造业,福建省,福州市,光学晶体、晶体材料、激光器件的制造及其技术咨询、技术服务。,002222.SZ
002223,鱼跃医疗,专用设备制造业,江苏省,丹阳市,康复护理系列和医用供氧系列医疗器械产品的生产和销售。,002223.SZ
002224,三力士,橡胶和塑料制品业,浙江省,绍兴市,三角胶带（也称为橡胶V 带）、橡胶制品的生产、开发、销售。,002224.SZ
002225,濮耐股份,非金属矿物制品业,河南省,濮阳市,为研制、生产和销售定型、不定形耐火材料，功能耐火材料及配套机构，并承担各种热工设备耐火材料设计安装、施工服务等整体承包业务。,002225.SZ
002226,江南化工,化学原料及化学制品制造业,安徽省,宁国市,工业炸药的生产、销售。,002226.SZ
002227,奥特迅,电气机械及器材制造业,广东省,深圳市,电力自动化电源设备及其智能单元的研发、制造、销售和服务。,002227.SZ
002228,合兴包装,造纸及纸制品业,福建省,厦门市,中高档瓦楞纸箱（板）的研发与设计、生产、销售及服务。,002228.SZ
002229,鸿博股份,印刷和记录媒介复制业,福建省,福州市,商业票据印刷。,002229.SZ
002230,科大讯飞,软件和信息技术服务业,安徽省,合肥市,语音支撑软件、行业应用产品/系统、信息工程和运维服务。,002230.SZ
002231,奥维通信,计算机、通信和其他电子设备制造业,辽宁省,沈阳市,微波射频产品及无线通信网络优化覆盖系统开发、生产、销售并提供相应服务。,002231.SZ
002232,启明信息,软件和信息技术服务业,吉林省,长春市,以汽车业管理软件为核心的软件开发、系统集成及技术服务业务；提供汽车电子产品研发制造、系统集成及增值服务业务。,002232.SZ
002233,塔牌集团,非金属矿物制品业,广东省,梅州市,水泥的生产和销售。,002233.SZ
002234,民和股份,畜牧业,山东省,烟台市,父母代肉种鸡的饲养、商品代肉鸡苗的生产与销售；商品代肉鸡的养殖与销售；饲料、鸡肉制品的生产与销售。,002234.SZ
002235,安妮股份,互联网和相关服务,福建省,厦门市,商务信息用纸的研发、生产、销售及综合应用服务。,002235.SZ
002236,大华股份,计算机、通信和其他电子设备制造业,浙江省,杭州市,安防视频监控产品的研发、生产和销售。,002236.SZ
002237,恒邦股份,有色金属冶炼及压延加工业,山东省,烟台市,黄金探、采、选、冶及化工生产等。,002237.SZ
002238,天威视讯,电信、广播电视和卫星传输服务,广东省,深圳市,深圳地区有线电视网络的规划建设、经营管理、维护和广播电视节目的接收、集成、传输，以传输视频信息和开展网上多功能服务为主业。2002年，公司全面开始通过有线电视网络向用户提供因特网接入及信息服务。,002238.SZ
002239,奥特佳,汽车制造业,江苏省,南通市,中高档服装(女装)的ODM与OBM业务。,002239.SZ
002240,盛新锂能,有色金属冶炼及压延加工业,四川省,成都市,锂电新能源材料业务。,002240.SZ
002241,歌尔股份,计算机、通信和其他电子设备制造业,山东省,潍坊市,微型电声元器件和消费类电声产品的研发、制造和销售,002241.SZ
002242,九阳股份,电气机械及器材制造业,山东省,济南市,厨房小家电系列产品的研发、生产和销售。,002242.SZ
002243,力合科创,橡胶和塑料制品业,广东省,深圳市,化妆品塑料包装的生产和销售。,002243.SZ
002244,滨江集团,房地产业,浙江省,杭州市,房地产开发与销售。,002244.SZ
002245,蔚蓝锂芯,电气机械及器材制造业,江苏省,张家港市,冷轧钢板的涂层生产及涂层板、镀锌板、铝合金板等金属材料的加工。,002245.SZ
002246,北化股份,化学原料及化学制品制造业,四川省,泸州市,生产、销售硝化棉。,002246.SZ
002247,聚力文化,互联网和相关服务,浙江省,临安市,"移动游戏、移动广告推广等文化业务,新型建筑装饰材料的研发、生产和销售。公司采用印刷、砂磨、拉丝、表面氧化等工艺,对钛白纸、铝箔等材料进行表面处理,最终生产装饰纸和金属饰面板等新型装饰材料。",002247.SZ
002248,华东数控,通用设备制造业,山东省,威海市,研发、生产经营数控机床、数控机床关键功能部件（数控系统、编码器、高速精密机床主轴、刀库等）及普通铣床、普通磨床等。,002248.SZ
002249,大洋电机,电气机械及器材制造业,广东省,中山市,微特电机的开发、生产和销售,002249.SZ
